"Country","term","estimate","std.error","statistic","p.value","Significant","DataFrame"
"Hungary","Year",-0.000272600108689119,3.61029059014137e-05,-7.55064175259213,4.33118702204627e-14,"*","tm_police"
"Kazakhstan","Year",-0.000196027094334063,6.2206434191521e-05,-3.15123502707992,0.00162581606588031,"*","tm_police"
"Kosovo (UNSCR 1244)","Year",-5.80545984424849e-05,5.47834628352863e-05,-1.0597102745592,0.289276427046741,"","tm_police"
"Kyrgyzstan","Year",0.000582699780493865,0.000166375212394101,3.50232328547593,0.000461219621581328,"*","tm_police"
"Latvia","Year",-2.07030263198444e-05,1.83681546838027e-05,-1.12711519889914,0.259693778043549,"","tm_police"
"Lithuania","Year",-0.000263984255017935,9.67294576681585e-05,-2.72909888447388,0.00635076572903626,"*","tm_police"
"North Macedonia","Year",0.000924735080979537,0.000435681746451004,2.12250131779054,0.0337956621501352,"*","tm_police"
"Poland","Year",0.000254011780484614,0.000160084453674055,1.58673609244907,0.112572428286829,"","tm_police"
"Republic of Moldova","Year",-9.32496914680984e-05,6.66094662682612e-05,-1.39994653451428,0.161529329570106,"","tm_police"
"Russian Federation","Year",7.29394201018574e-05,5.36990554170897e-05,1.3582998720429,0.174368550873763,"","tm_police"
"Serbia","Year",-2.70163491430252e-05,2.56374273731217e-05,-1.05378549687669,0.291981134985156,"","tm_police"
"Slovakia","Year",-0.000137401271465661,2.6324024434152e-05,-5.21961494943,1.79295504830695e-07,"*","tm_police"
"Slovenia","Year",1.54514059955952e-05,2.25051334171719e-05,0.6865725125542,0.492352154994599,"","tm_police"
"Tajikistan","Year",-0.00012828854449012,1.6744566353637e-05,-7.66150294852246,1.83769658660224e-14,"*","tm_police"
"Ukraine","Year",-0.000186155681667235,1.86542002409376e-05,-9.97929041517993,1.8780501266866e-23,"*","tm_police"
"Albania","Year",3.00403275646895e-05,2.81789494829734e-05,1.06605562364348,0.286398498156512,"","tm_welfare"
"Bulgaria","Year",-0.000218939983983135,9.94012362964043e-05,-2.20258813814225,0.0276237907219095,"*","tm_welfare"
"Croatia","Year",0.000117741668286686,4.89978894923156e-05,2.40299469031521,0.0162614235410102,"*","tm_welfare"
"Hungary","Year",3.09726903719401e-06,2.37485229689139e-05,0.130419438768813,0.896234588024027,"","tm_welfare"
"Kosovo (UNSCR 1244)","Year",0.000516568498430801,0.000131998654407986,3.91343760849389,9.09914186837819e-05,"*","tm_welfare"
"Lithuania","Year",-0.000184568364577295,0.000123056749752385,-1.49986380225939,0.133649686149443,"","tm_welfare"
"North Macedonia","Year",-6.12236520662575e-05,0.000133147596090719,-0.459817930355598,0.645646912028073,"","tm_welfare"
"Republic of Moldova","Year",3.21954457794385e-05,9.15037573299748e-05,0.351848347203245,0.724951998138176,"","tm_welfare"
"Romania","Year",-3.59177603892875e-05,2.6661994709673e-05,-1.34715203346194,0.177931272742825,"","tm_welfare"
"Serbia","Year",8.74932581202356e-05,2.23515019371278e-05,3.91442411191624,9.06202324507939e-05,"*","tm_welfare"
"Slovakia","Year",-6.52522010483384e-05,2.69510185729815e-05,-2.42114044304633,0.0154718984794735,"*","tm_welfare"
"Slovenia","Year",-1.61385779645926e-05,7.77116748551966e-05,-0.207672502164756,0.835484689664875,"","tm_welfare"
"Tajikistan","Year",0.000225475473521947,6.0702091464714e-05,3.71445971763618,0.000203638303551344,"*","tm_welfare"
